"id";"ssflag";"pagenumberinocrdocument";"authorfirstname";"authorlastname";"title";"firsteditionpublisher";"firsteditionpublicationplace";"firsteditionpublicationyear";"secondeditionpublisher";"secondeditionpublicationplace";"secondeditionpublicationyear";"additionalinfos";"ocrresult"
"74031";"2";"79";"Leopold";"Kunschak";"Oesterreich 1918—1934";"Typograph. Anst.";"Wien";"1935";"";"";"";"";"Kunschak, Leopold: Oesterreich 1918—1934. Wien: Typograph. Anst. 1935."
"74032";"2";"79";"Josef";"Kunz";"Der Kraftmensch";"Regina-Verl.";"Atzgersdorf";"1930";"";"";"";"";"Kunz, Josef: Der Kraftmensch. Atzgersdorf: Regina-Verl. 1930."
"74033";"2";"79";"Josef";"Kunz";"Lore";"Regina-Verl.";"Atzgersdorf";"1930";"";"";"";"";"Kunz, Josef: Lore. Atzgersdorf: Regina-Verl. 1930."
"74034";"2";"79";"Josef";"Kunz";"Josefine Mutzenbacher";"Regina-Verl.";"Atzgersdorf";"1930";"";"";"";"";"Kunz, Josef: Josefine Mutzenbacher. Atzgersdorf: Regina-Verl. 1930."
"74035";"2";"79";"";"Kunz, Josef";"Lauras Wollust und Laster";"Selbstverl. o. J";"Wien";"";"";"";"";"";"Kunz, Josef: Lauras Wollust und Laster. Wien: Selbstverl. o. J."
"74036";"2";"79";"Josef Laurenz";"Kunz";"Die völkerrechtliche Option";"Hirt";"Breslau";"1925/28";"";"";"";"";"Kunz, Josef Laurenz: Die völkerrechtliche Option. Breslau: Hirt 1925/28."
"74037";"2";"79";"Alexander I.";"Kuprin";"Das Freudenhaus";"Murawkin";"Berlin";"1910";"";"";"";"";"Kuprin, Alexander I.: Das Freudenhaus. Berlin: Murawkin 1910."
"74038";"2";"79";"Alexander I.";"Kuprin";"Granatarmband";"Georg Müller";"München";"1911";"";"";"";"";"Kuprin, Alexander I.: Granatarmband. München: Georg Müller 1911."
"74039";"2";"79";"Alexander I.";"Kuprin";"Die Gruft";"Georg Müller";"München";"1912";"";"";"";"";"Kuprin, Alexander I.: Die Gruft. München: Georg Müller 1912."
"74040";"2";"79";"Alexander I.";"Kuprin";"Jama, die Lastergrube";"»Renaissance«";"Wien";"1924";"";"";"";"";"Kuprin, Alexander I.: Jama, die Lastergrube. Wien: »Renaissance« 1924."
"74041";"2";"79";"Alexander I.";"Kuprin";"Die sieben Liebesnächte der Sulamith";"Renaissance-Verl.";"Leipzig";"1926";"";"";"";"";"Kuprin, Alexander I.: Die sieben Liebesnächte der Sulamith. Leipzig: Renaissance-Verl. 1926."
"74042";"2";"81";"Paul";"Lamberty";"Undeutsches in der Deutschen Glaubensbewegung";"Selbstverl.";"Tigring";"1934";"";"";"";"";"Lamberty, Paul: Undeutsches in der Deutschen Glaubensbewegung. Tigring: Selbstverl. 1934."
"74043";"2";"81";"Georg";"Lammers";"Astrologie und Heilkunde";"Wiest";"Leipzig";"1936";"";"";"";"";"Lammers, Georg: Astrologie und Heilkunde. Leipzig: Wiest 1936."
"74044";"2";"81";"Friedo";"Lampe";"Am Rande der Nacht";"Rowohlt";"Berlin";"1934";"";"";"";"";"Lampe, Friedo: Am Rande der Nacht. Berlin: Rowohlt 1934."
"74045";"2";"81";"Peter Martin";"Lampel";"Jungen in Not";"Kiepenheuer";"Berlin";"1929";"";"";"";"";"Lampel, Peter Martin: Jungen in Not. Berlin: Kiepenheuer 1929."
"74046";"2";"81";"Peter Martin";"Lampel";"Verratene Jungen";"Societätsdruckerei";"Frankfurt";"1929";"";"";"";"";"Lampel, Peter Martin: Verratene Jungen. Frankfurt: Societätsdruckerei 1929."
"74047";"2";"81";"Peter Martin";"Lampel";"Revolte im Erziehungshaus";"Kiepenheuer";"Berlin";"1929";"";"";"";"";"Lampel, Peter Martin: Revolte im Erziehungshaus. Berlin: Kiepenheuer 1929."
"74048";"2";"81";"Kurt";"Lamprecht";"Regiment Reichstag";"Fackelreiter-Verl.";"Hamburg";"1931";"";"";"";"";"Lamprecht, Kurt: Regiment Reichstag. Hamburg: Fackelreiter-Verl. 1931."
